scenario_id,obstacle_id,k,dx,dy
0,0,0,0.0,0.0
0,0,1,0.03067563318653864,-0.10479318911384859
0,0,2,0.05785102973164376,-0.04106125166642685
0,0,3,0.0470445226024175,-0.03712568457752194
0,0,4,0.07195787993440332,-0.08047914757490407
0,0,5,0.08282934355954957,-0.16972860015586658
0,0,6,0.08534009724866302,-0.1461104106818071
0,0,7,0.09320536778390397,-0.05344212251599066
0,0,8,0.12487135246804498,-0.04082220260398764
0,0,9,0.14276796222899085,-0.099719085131626
0,0,10,0.16339311243613633,-0.12636969670807283
0,0,11,0.15834263475393376,-0.2308246518492571
0,0,12,0.1598751026471878,-0.2678579147426795
0,0,13,0.18351617154304162,-0.15684550389327287
0,0,14,0.21066874473361852,-0.19669157937316042
0,0,15,0.2409800449088457,-0.25381161238946914
0,0,16,0.26985733090920255,-0.30419417500023094
0,0,17,0.31036786207254263,-0.29763069916744056
0,0,18,0.32721223279391093,-0.3712974773654619
0,0,19,0.3360177088856391,-0.3618491772570545
0,0,20,0.3495905494216698,-0.42747309719677606
1,0,0,0.0,0.0
1,0,1,-0.014770905456891047,0.052210468135028124
1,0,2,-0.026344710231252295,-0.02323510985917183
1,0,3,-0.04917871530099413,-0.0654662908239248
1,0,4,-0.04622512690881384,-0.11660355468005357
1,0,5,-0.0487607359434422,-0.029204391443953155
1,0,6,-0.01709836083854197,-0.10117921047864947
1,0,7,2.4538509389672242e-05,-0.1653410480398473
1,0,8,0.036818087845681885,-0.1729143134860498
1,0,9,0.06076920596540357,-0.1166065882795786
1,0,10,0.07939307696192363,-0.14585262937397028
1,0,11,0.08822557615623931,-0.1798220669917848
1,0,12,0.10984232044331278,-0.221854221636564
1,0,13,0.12167119641481555,-0.16577710339969118
1,0,14,0.16593815649688765,-0.21653962485441036
1,0,15,0.20434793682171937,-0.19545754921424974
1,0,16,0.2249020359723341,-0.15232687473691195
1,0,17,0.25020617363999587,-0.2041595017414389
1,0,18,0.25467623353349206,-0.27433059930594134
1,0,19,0.31201347397322515,-0.32285884181211966
1,0,20,0.35037932583493137,-0.30080743200285154
2,0,0,0.0,0.0
2,0,1,-0.0009217498193783409,-0.00027703590514084527
2,0,2,-0.03139961308937242,0.008361807171738136
2,0,3,-0.03148242579175739,0.02416758291552746
2,0,4,-0.03174067978116578,0.0456713987904079
2,0,5,-0.018160180644461052,0.07937889986234203
2,0,6,0.008557593095085162,0.05911325620501459
2,0,7,0.01689184439346446,-0.06083123857706089
2,0,8,0.028051217608599202,0.05044026412623458
2,0,9,0.033821043209691794,-0.014130731378956062
2,0,10,0.04948883777128253,-0.0638484896955278
2,0,11,0.0444505612803349,-0.13398448084699152
2,0,12,0.07216174051177134,-0.1700051512120419
2,0,13,0.11029887870883805,-0.11333595370284136
2,0,14,0.13907008766698326,-0.1996484671473408
2,0,15,0.1665315732051932,-0.22118950020902503
2,0,16,0.18693174470744048,-0.256354831022126
2,0,17,0.20741200137918314,-0.28309342888294153
2,0,18,0.22925481631368916,-0.3128142183505748
2,0,19,0.24661717945711248,-0.3926060967585374
2,0,20,0.2832835401303976,-0.465646560284112
3,0,0,0.0,0.0
3,0,1,-0.010798411266800494,0.015587033699771234
3,0,2,-0.02241928000536863,0.03885486439257704
3,0,3,-0.02411651261139941,0.0746032012050501
3,0,4,-0.010241323493518474,0.0829591917278841
3,0,5,-0.0031485760849143214,0.050768017824378044
3,0,6,-0.0009987148804103134,-0.04315062341390409
3,0,7,0.03187082854079648,-0.08842011714572132
3,0,8,0.03994870292088243,-0.14396796693433667
3,0,9,0.08145000622112356,-0.19134257983112882
3,0,10,0.057789555212381494,-0.135203330585204
3,0,11,0.05863514941094951,-0.13124865147065207
3,0,12,0.05668846672423152,-0.1875011976396576
3,0,13,0.05014518322903806,-0.2067833338863061
3,0,14,0.06148822665785182,-0.1826231093312119
3,0,15,0.09662075704587919,-0.26518937098384576
3,0,16,0.1362937836655827,-0.26479496442560324
3,0,17,0.16044049624187892,-0.26419512024146946
3,0,18,0.19049711190474228,-0.26583069238198576
3,0,19,0.22939948629589235,-0.2769672766555707
3,0,20,0.25648544109911725,-0.3667503342993451
4,0,0,0.0,0.0
4,0,1,-0.01180752032792263,0.06362941258911345
4,0,2,-0.01270221739304346,0.040894604962588996
4,0,3,0.0051140048286310875,0.06526310984104075
4,0,4,0.044977404986009106,0.029147277008635262
4,0,5,0.056043452845463734,0.059266798815615
4,0,6,0.03921725287462688,-0.016200565229307014
4,0,7,0.012848219793456035,-0.042992754608474695
4,0,8,0.03441213205141075,-0.057781990550260245
4,0,9,0.061887894695281956,-0.03857059878627318
4,0,10,0.08137810380303251,-0.11962113427871615
4,0,11,0.09351943004311038,-0.08155614080495466
4,0,12,0.11447960384415992,-0.17478074250388553
4,0,13,0.15301004579037783,-0.1613521616634107
4,0,14,0.18404017070839945,-0.06630543238510027
4,0,15,0.19558279764222536,-0.1219900152020508
4,0,16,0.2349891435100938,-0.1648101462517273
4,0,17,0.2679577578346509,-0.24431226261535222
4,0,18,0.28547390196533773,-0.2802901820089888
4,0,19,0.283951376563616,-0.3369332153708213
4,0,20,0.3085944637921975,-0.4155215754416639
5,0,0,0.0,0.0
5,0,1,-0.016077743523613762,0.0682215964560723
5,0,2,0.0046837203994072995,-0.02254504435709705
5,0,3,0.02519801664355361,0.006920665464394944
5,0,4,0.03684341799750537,0.002224250711175096
5,0,5,0.02071143196191711,-0.0053068179133257095
5,0,6,0.00473065318491245,-0.08646113950951273
5,0,7,0.007304557317247462,-0.11059805434578669
5,0,8,0.05723538342726574,-0.11370025254454375
5,0,9,0.11847506262299404,-0.11317434413767227
5,0,10,0.1614811345990515,-0.19428122861584077
5,0,11,0.19941862652031433,-0.2094705137319008
5,0,12,0.21086927511055376,-0.31560419490453573
5,0,13,0.24010164323164251,-0.24199795612393843
5,0,14,0.2697399063744802,-0.22575519366007854
5,0,15,0.2819482491056795,-0.2548581955696668
5,0,16,0.29665050770361673,-0.3344616070807028
5,0,17,0.3264907829067589,-0.34632142874695315
5,0,18,0.3315869151858627,-0.33641745201426393
5,0,19,0.3409230463115899,-0.38558530526855617
5,0,20,0.3506384198631037,-0.3072652459144228
6,0,0,0.0,0.0
6,0,1,-0.0131057881097211,0.0752880633437644
6,0,2,-0.02949319854719524,-0.003651481546792438
6,0,3,-0.03312245606573367,-0.02009893775933224
6,0,4,0.003897291238533336,-0.08302333925279379
6,0,5,0.04123509695256074,-0.07962181968586819
6,0,6,0.0723577851756181,-0.11843609294170299
6,0,7,0.0756169145931876,-0.09283911177900764
6,0,8,0.10028699167272721,-0.034621767440298094
6,0,9,0.12596104215030837,-0.06875468430243532
6,0,10,0.1385955373778307,-0.06976240949507524
6,0,11,0.1417334740628784,-0.1048985371974604
6,0,12,0.16407653012242895,-0.09533171559502496
6,0,13,0.1974534968639724,-0.08253254687122043
6,0,14,0.22086536255985714,-0.21144534987421898
6,0,15,0.23088518634397087,-0.27842268868126435
6,0,16,0.23937176539064065,-0.2900670104636454
6,0,17,0.2670355128842847,-0.3136646689056227
6,0,18,0.292345181135548,-0.3148563753458341
6,0,19,0.3238780516963732,-0.32033233832708446
6,0,20,0.3380593911396846,-0.3046754395408887
7,0,0,0.0,0.0
7,0,1,0.00218300454265515,-0.08534884765686815
7,0,2,0.03551688785025339,-0.08649549305472652
7,0,3,0.03890027654590407,-0.0663602103910059
7,0,4,0.05768755552169055,-0.05454884104485499
7,0,5,0.05210310013331892,-0.06601231813449368
7,0,6,0.056626942222855955,-0.022929079731264793
7,0,7,0.0754345328202216,-0.08297720321752833
7,0,8,0.07500902085359261,-0.008979483763851697
7,0,9,0.08114498403150372,0.033006509479648574
7,0,10,0.08931543658516704,-0.007449807949377183
7,0,11,0.09131888844676038,-0.04232971512087241
7,0,12,0.11922737580578519,-0.057215056694680785
7,0,13,0.15384088204010235,-0.15694972665778945
7,0,14,0.19057090902223406,-0.15594803128367773
7,0,15,0.19731954518107994,-0.22414364190841066
7,0,16,0.2268495635573444,-0.22047005810507136
7,0,17,0.21546380563300888,-0.2245067058752806
7,0,18,0.20303980356770313,-0.348825295047048
7,0,19,0.22313662055024652,-0.3322119375667044
7,0,20,0.24239402025386558,-0.30774745264073294
8,0,0,0.0,0.0
8,0,1,-0.006679360511573614,-0.008061703797121471
8,0,2,0.028563980594095373,0.018381457609286975
8,0,3,0.06006789036109101,-0.012715309822682094
8,0,4,0.07752019963984602,-0.07995893318844853
8,0,5,0.10411205684980934,-0.16283140396558402
8,0,6,0.12958645838490698,-0.02526630215372974
8,0,7,0.1167514536540653,0.061389634175062505
8,0,8,0.11724202674570473,0.014593892200768288
8,0,9,0.13695948656530868,0.04225823309171876
8,0,10,0.15393980653135272,0.0019659148335057193
8,0,11,0.1555916748536996,-0.0347269981746061
8,0,12,0.15727656514823518,-0.07162295646850483
8,0,13,0.17742606212113265,-0.14282075597507074
8,0,14,0.18730045158612227,-0.15468897674340948
8,0,15,0.21011869509576153,-0.14734679415992272
8,0,16,0.2152351154668883,-0.17235310275586957
8,0,17,0.23069505551168173,-0.19708891387434524
8,0,18,0.2371372479803196,-0.2331543700517147
8,0,19,0.26795639162338936,-0.2349575171260535
8,0,20,0.2724743746429912,-0.33451720552598563
9,0,0,0.0,0.0
9,0,1,0.002782168038951745,-0.09625897431247918
9,0,2,0.051654138112282456,-0.09691405470201858
9,0,3,0.08889549832826658,-0.11302219921206919
9,0,4,0.09812826987377193,-0.12896451053736957
9,0,5,0.11662651341377075,-0.08103729182430193
9,0,6,0.11437412272844516,-0.06981731684825705
9,0,7,0.10520881865964155,-0.08225929718352475
9,0,8,0.13027997813812603,-0.11810312282422308
9,0,9,0.16034558393385379,-0.12798406625965897
9,0,10,0.16506670595325765,-0.13608320722573944
9,0,11,0.1741038218201677,-0.17506985281804793
9,0,12,0.1966371054827806,-0.21041995536959035
9,0,13,0.20739557629372157,-0.2501081805459615
9,0,14,0.23738460149660018,-0.2883011117234947
9,0,15,0.25410121798850155,-0.3174243766855196
9,0,16,0.26018541918146876,-0.32885510704268656
9,0,17,0.270649461558702,-0.38459165818941854
9,0,18,0.2739169638235416,-0.3780123348495139
9,0,19,0.27112822717470586,-0.4638122778020267
