method,scenario,collision_rate,total_progress_mean,avg_solve_ms,missed_mode_rate,n
SHMPC,baseline,0.3,13.968759999999998,6.199416666666667,0.2520833333333333,30
SHMPC_DRO,baseline,0.2,13.270733333333332,6.366886666666668,0.24125,30
SHMPC_AdaptiveDRO,baseline,0.3,12.586686666666667,7.860026666666665,0.26875,30
SHMPC_RTA,baseline,0.26666666666666666,11.996206666666666,7.8100000000000005,0.25958333333333333,30
SHMPC_Conformal,baseline,0.2,15.652259999999997,6.9182,0.2775,30
SHMPC_Hazard,baseline,0.3333333333333333,12.676966666666667,6.044370000000001,0.32208333333333333,30
SHMPC_Bandit,baseline,0.13333333333333333,11.685226666666663,6.0067966666666655,0.42875,30
SHMPC_Certificate,baseline,0.4,12.390590000000001,6.823686666666666,0.2525,30
SHMPC_Compiler,baseline,0.1,13.969420000000001,8.85723,0.11875,30
CertificateFirst,baseline,0.4666666666666667,13.222276666666668,6.024963333333334,0.24166666666666667,30
ScenarioCompiler,baseline,0.1,12.813553333333333,8.4899,0.11583333333333333,30
