method,collision_rate,collision_ci_lo,collision_ci_hi,total_progress_mean,avg_solve_ms,collision_rate_delta_vs_shmpc,progress_delta_vs_shmpc,solve_time_delta_ms_vs_shmpc
SHMPC,0.28,0.17474014357680362,0.4166538714598967,13.489922,4.657357999999999,,,
SHMPC_DRO,0.28,0.17474014357680362,0.4166538714598967,13.545602,4.685084000000001,0.0,0.05568000000000062,0.02772600000000125
SHMPC_AdaptiveDRO,0.3,0.1910338908960936,0.4375061227736339,13.341835999999999,4.906548,-0.019999999999999962,-0.14808600000000105,0.24919000000000047
SHMPC_RTA,0.28,0.17474014357680362,0.4166538714598967,12.621312,4.989266,0.0,-0.8686100000000003,0.3319080000000003
SHMPC_Conformal,0.28,0.17474014357680362,0.4166538714598967,13.924624000000001,4.486718,0.0,0.4347020000000015,-0.17063999999999968
SHMPC_Hazard,0.32,0.20758044093999403,0.45810557136276076,13.55417,5.237964,-0.03999999999999998,0.0642479999999992,0.5806060000000004
SHMPC_Bandit,0.22,0.12753786224302288,0.35241815689459555,14.027994,5.248832000000001,0.060000000000000026,0.5380719999999997,0.5914740000000016
SHMPC_Certificate,0.42,0.2937479723456693,0.5576680331222217,13.283192,4.875413999999999,-0.13999999999999996,-0.2067300000000003,0.2180559999999998
SHMPC_Compiler,0.3,0.1910338908960936,0.4375061227736339,13.939786,7.310652,-0.019999999999999962,0.4498639999999998,2.6532940000000007
CertificateFirst,0.38,0.2586259584257722,0.5184980497760643,13.38515,5.18859,-0.09999999999999998,-0.10477200000000053,0.5312320000000001
ScenarioCompiler,0.2,0.11243629945973886,0.3303737210448524,14.144048,7.777515999999999,0.08000000000000002,0.6541259999999998,3.120158
SHMPC_GAN,0.04,0.011038652660826577,0.13460337877954667,13.776491999999998,14.734193999999997,0.24000000000000002,0.28656999999999755,10.076835999999997
SHMPC_GAN_Reduced,0.04,0.011038652660826577,0.13460337877954667,17.601311999999997,5.568224,0.24000000000000002,4.1113899999999965,0.9108660000000004
SHMPC_GAN_Quotient,0.32,0.20758044093999403,0.45810557136276076,18.309266,5.6883040000000005,-0.03999999999999998,4.819344000000001,1.030946000000001
SHMPC_Reservoir,0.22,0.12753786224302288,0.35241815689459555,13.845633999999997,8.758747999999999,0.060000000000000026,0.3557119999999969,4.101389999999999
SHMPC_SeekAvoid,0.22,0.12753786224302288,0.35241815689459555,14.830549999999999,4.8374,0.060000000000000026,1.3406279999999988,0.18004200000000026
SHMPC_SeekAvoidML,0.18,0.0977008273245379,0.3079631945470261,12.253058000000001,15.938252,0.10000000000000003,-1.2368639999999989,11.280894
SHMPC_QuotientSpace,0.24,0.14297252401872207,0.3741294937519236,13.482407999999998,7.741550000000001,0.040000000000000036,-0.007514000000002241,3.0841920000000016
SHMPC_DoubleDual,0.28,0.17474014357680362,0.4166538714598967,13.900620000000002,4.724558,0.0,0.4106980000000018,0.06720000000000059
