scenario_id,obstacle_id,k,dx,dy
0,0,0,0.0,0.0
0,0,1,-0.05763142659079801,0.00900128269719147
0,0,2,-0.17528706108059744,-0.06260172344129433
0,0,3,-0.25522291748944514,-0.10863225701281554
0,0,4,-0.3126006331044602,-0.11852548023779841
0,0,5,-0.44849658773948065,-0.12611075807438477
0,0,6,-0.5114805393096375,-0.1390729542339193
0,0,7,-0.6489221792038995,-0.1483717693426898
0,0,8,-0.7291536750009886,-0.13056530338535843
0,0,9,-0.7908062196893217,-0.2007174184549516
0,0,10,-0.9135283887550356,-0.19485537601523317
0,0,11,-1.0958633749875775,-0.18190181289506047
0,0,12,-1.2346867646648914,-0.2310589142521251
0,0,13,-1.259141028168818,-0.26313194991501954
0,0,14,-1.370714528150323,-0.2783806448257087
0,0,15,-1.4713883891267727,-0.3406020662531759
0,0,16,-1.5547113704133677,-0.2651810726869117
0,0,17,-1.6030451213811583,-0.2789586461262368
0,0,18,-1.683807161877219,-0.27651317231178574
0,0,19,-1.745018758580553,-0.35968862826015235
0,0,20,-1.8128275704042238,-0.39566199011989744
1,0,0,0.0,0.0
1,0,1,-0.30400932380504386,0.012060510320943463
1,0,2,-0.5858011156298897,-0.035742525466349206
1,0,3,-0.7927660934873089,-0.08804330060123056
1,0,4,-1.04591297860296,-0.12533677636504872
1,0,5,-1.2723635380569167,-0.11295737044985474
1,0,6,-1.626847099219173,-0.07970596046792823
1,0,7,-1.9035536116331038,0.01805113671151326
1,0,8,-2.105542045907084,0.06089027049859591
1,0,9,-2.4693432019828148,0.1423907255191793
1,0,10,-2.712091647170963,0.0688210802697537
1,0,11,-2.9416319861143947,0.12676812909450985
1,0,12,-3.2648394824500464,0.17136745266354336
1,0,13,-3.525570634615457,0.13418819754958872
1,0,14,-3.7911129864638173,0.08484033918645956
1,0,15,-4.026232545601095,0.08918741229602734
1,0,16,-4.220256453497964,0.14911423024593312
1,0,17,-4.480830976367264,0.19060618838072407
1,0,18,-4.782391894656644,0.20824619836251557
1,0,19,-5.080703316418919,0.16548622353080922
1,0,20,-5.295990543525342,0.11469257835255559
2,0,0,0.0,0.0
2,0,1,-0.07751391052466516,-0.04271132320921944
2,0,2,-0.15144469298864038,-0.015563452482039497
2,0,3,-0.1921187405628224,-0.016097385468620162
2,0,4,-0.3673879738406036,0.014085897837084471
2,0,5,-0.5706067844520515,0.03457600007630346
2,0,6,-0.724448126632284,0.11344156289352214
