buffer_size,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_clearance,avg_solve_ms
10,0.125,0.06933,0.215,0.183,0.9963,1.5
20,0.125,0.06933,0.215,0.1968,0.9762,1.5
50,0.1375,0.07855,0.2297,0.1855,0.9781,1.5
100,0.1125,0.06033,0.2002,0.1882,0.991,1.5
200,0.0875,0.04303,0.1698,0.1981,1.006,1.5
