num_scenarios,safe_horizon_enabled,avg_safe_horizon,avg_constraints,collision_rate,ci_lo,ci_hi,avg_solve_ms,avg_progress,num_rollouts
20,no,15.00,0,0.1000,0.0279,0.3010,5.24,2.20,20
20,yes,3.00,0,0.1500,0.0524,0.3604,1.94,-0.30,20
40,no,15.00,0,0.2000,0.0807,0.4160,6.47,2.43,20
40,yes,3.00,0,0.0500,0.0089,0.2361,2.40,-0.37,20
80,no,15.00,0,0.2500,0.1119,0.4687,8.80,2.42,20
80,yes,3.00,0,0.1000,0.0279,0.3010,2.74,0.21,20
