variant,dro,num_discs,safe_horizon,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_clearance,avg_solve_ms,avg_progress
Base(D=1,noDRO),no,1,no,0.0000,0.0000,0.1611,0.1533,1.7880,2.11,6.48
Base(D=3,noDRO),no,3,no,0.2000,0.0807,0.4160,0.1500,1.0120,6.14,3.05
DRO(D=1),yes,1,no,0.0500,0.0089,0.2361,0.1400,1.9037,2.16,4.31
DRO(D=3),yes,3,no,0.4000,0.2188,0.6134,0.1433,0.8951,5.86,2.87
DRO(D=3)+SH,yes,3,yes,0.0000,0.0000,0.1611,0.1367,2.6090,2.13,-0.42
