variant,avg_speed,avg_progress,min_clearance_mean,min_clearance_std,control_effort_mean,steering_variation,avg_solve_ms
Base,1.55,20.07,1.059,0.06568,6.077,0.2201,1.3
Extremes,1.563,20.07,1.063,0.03935,6.043,0.2188,2.3
OT,1.568,20.07,1.06,0.02925,6.097,0.2154,1.3
OT+Extremes,1.576,20.07,1.059,0.07788,6.081,0.2144,2.4
