variant,step,missed_fraction
Base,0,0
Base,1,0.2
Base,2,0.1
Base,3,0
Base,4,0.05
Base,5,0.05
Base,6,0
Base,7,0
Base,8,0
Base,9,0.15
Base,10,0.15
Base,11,0
Base,12,0.1
Base,13,0.2
Base,14,0.25
Base,15,0.3
Base,16,0.25
Base,17,0.15
Base,18,0.1
Base,19,0.05
Base,20,0.2
Base,21,0.2
Base,22,0.25
Base,23,0.3
Base,24,0.2
Base,25,0.25
Base,26,0.4
Base,27,0.3
Base,28,0.25
Base,29,0.3
Base,30,0.3
Base,31,0.15
Base,32,0.15
Base,33,0.1
Base,34,0.3
Base,35,0.2
Base,36,0.15
Base,37,0.15
Base,38,0.35
Base,39,0.1
Base,40,0.2
Base,41,0.15
Base,42,0.25
Base,43,0.3
Base,44,0.25
Base,45,0.35
Base,46,0.25
Base,47,0.15
Base,48,0.25
Base,49,0.35
Base,50,0.35
Base,51,0.3
Base,52,0.25
Base,53,0.15
Base,54,0.25
Base,55,0.4
Base,56,0.25
Base,57,0.25
Base,58,0.3
Base,59,0.2
Base,60,0.3
Base,61,0.25
Base,62,0.2
Base,63,0.15
Base,64,0.25
Base,65,0.3
Base,66,0.35
Base,67,0.3
Base,68,0.2
Base,69,0.35
Base,70,0.3
Base,71,0.4
Base,72,0.3
Base,73,0.3
Base,74,0.3
Base,75,0.25
Base,76,0.35
Base,77,0.1
Base,78,0.2
Base,79,0.35
Base,80,0.5
Base,81,0.5
Base,82,0.4
Base,83,0.15
Base,84,0.2
Base,85,0.3
Base,86,0.55
Base,87,0.35
Base,88,0.6
Base,89,0.45
Base,90,0.2
Base,91,0.35
Base,92,0.55
Base,93,0.25
Base,94,0.5
Base,95,0.35
Base,96,0.3
Base,97,0.45
Base,98,0.4
Base,99,0.4
Base,100,0.45
Base,101,0.35
Base,102,0.2
Base,103,0.35
Base,104,0.25
Base,105,0.45
Base,106,0.4
Base,107,0.45
Base,108,0.5
Base,109,0.4
Base,110,0.45
Base,111,0.35
Base,112,0.45
Base,113,0.45
Base,114,0.45
Base,115,0.4
Base,116,0.35
Base,117,0.5
Base,118,0.55
Base,119,0.55
Base,120,0.25
Base,121,0.4
Base,122,0.6
Base,123,0.5
Base,124,0.4
Base,125,0.65
Base,126,0.45
Base,127,0.45
Base,128,0.4
Base,129,0.3
Base,130,0.3
Base,131,0.35
Base,132,0.2
Base,133,0.25
Base,134,0.3
Base,135,0.4
Base,136,0.4
Base,137,0.4
Base,138,0.5
Base,139,0.3
Base,140,0.45
Base,141,0.35
Base,142,0.35
Base,143,0.2
Base,144,0.3
Base,145,0.3
Base,146,0.1
Base,147,0.3
Base,148,0.15
Base,149,0.25
Extremes,0,0
Extremes,1,0.05
Extremes,2,0
Extremes,3,0
Extremes,4,0
Extremes,5,0
Extremes,6,0
Extremes,7,0.05
Extremes,8,0
Extremes,9,0
Extremes,10,0.05
Extremes,11,0.05
Extremes,12,0.1
Extremes,13,0.1
Extremes,14,0.05
Extremes,15,0
Extremes,16,0.05
Extremes,17,0.1
Extremes,18,0.2
Extremes,19,0.05
Extremes,20,0.2
Extremes,21,0.2
Extremes,22,0.15
Extremes,23,0
Extremes,24,0.1
Extremes,25,0.15
Extremes,26,0.15
Extremes,27,0.35
Extremes,28,0.2
Extremes,29,0.05
Extremes,30,0.15
Extremes,31,0.05
Extremes,32,0.15
Extremes,33,0.05
Extremes,34,0.05
Extremes,35,0.05
Extremes,36,0.05
Extremes,37,0.1
Extremes,38,0.1
Extremes,39,0.05
Extremes,40,0.05
Extremes,41,0.1
Extremes,42,0.2
Extremes,43,0.1
Extremes,44,0.05
Extremes,45,0.15
Extremes,46,0.2
Extremes,47,0.05
Extremes,48,0.1
Extremes,49,0.1
Extremes,50,0.15
Extremes,51,0.15
Extremes,52,0.05
Extremes,53,0.1
Extremes,54,0.1
Extremes,55,0.1
Extremes,56,0.15
Extremes,57,0.1
Extremes,58,0.1
Extremes,59,0.05
Extremes,60,0.15
Extremes,61,0.15
Extremes,62,0.25
Extremes,63,0.15
Extremes,64,0.05
Extremes,65,0.1
