num_scenarios,variant,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_clearance,avg_solve_ms,num_rollouts
10,Base,0.5000,0.2993,0.7007,0.0933,0.7850,4.25,20
10,DRO,0.3000,0.1455,0.5190,0.0950,1.0215,4.24,20
20,Base,0.3000,0.1455,0.5190,0.1100,1.0225,5.65,20
20,DRO,0.1500,0.0524,0.3604,0.1233,0.9509,5.18,20
40,Base,0.3500,0.1812,0.5671,0.1267,0.9220,6.97,20
40,DRO,0.3500,0.1812,0.5671,0.1200,0.9024,6.79,20
