variant,step,missed_fraction
DRO,145,0.25
DRO,146,0.2
DRO,147,0.1
DRO,148,0.15
DRO,149,0.25
OT,0,0.05
OT,1,0.1
OT,2,0
OT,3,0.05
OT,4,0
OT,5,0
OT,6,0
OT,7,0
OT,8,0
OT,9,0
OT,10,0.05
OT,11,0
OT,12,0
OT,13,0.05
OT,14,0.05
OT,15,0.1
OT,16,0.15
OT,17,0.15
OT,18,0.2
OT,19,0.1
OT,20,0.05
OT,21,0.15
OT,22,0.1
OT,23,0.2
OT,24,0.2
OT,25,0.1
OT,26,0.25
OT,27,0.15
OT,28,0.05
OT,29,0.15
OT,30,0.05
OT,31,0.15
OT,32,0.05
OT,33,0.05
OT,34,0.1
OT,35,0.15
OT,36,0.2
OT,37,0
OT,38,0.2
OT,39,0
OT,40,0.2
OT,41,0.1
OT,42,0
OT,43,0.2
OT,44,0.15
OT,45,0.15
OT,46,0.15
OT,47,0.2
OT,48,0.1
OT,49,0.05
OT,50,0.1
OT,51,0.2
OT,52,0.2
OT,53,0.1
OT,54,0.2
OT,55,0.05
OT,56,0.15
OT,57,0.2
OT,58,0.05
OT,59,0
OT,60,0.25
OT,61,0.1
OT,62,0.25
OT,63,0.15
OT,64,0.1
OT,65,0.2
OT,66,0.4
OT,67,0.3
OT,68,0.15
OT,69,0.15
OT,70,0.35
OT,71,0.15
OT,72,0.3
OT,73,0.25
OT,74,0.3
OT,75,0.3
OT,76,0.4
OT,77,0.1
OT,78,0.1
OT,79,0.15
OT,80,0.2
OT,81,0.2
OT,82,0.2
OT,83,0.15
OT,84,0
OT,85,0.4
OT,86,0.35
OT,87,0.55
OT,88,0.25
OT,89,0.3
OT,90,0.3
OT,91,0.1
OT,92,0.15
OT,93,0.25
OT,94,0.1
OT,95,0.25
OT,96,0.3
OT,97,0.25
OT,98,0.3
OT,99,0.15
OT,100,0.25
OT,101,0.45
OT,102,0.3
OT,103,0.2
OT,104,0.25
OT,105,0.3
OT,106,0.05
OT,107,0.25
OT,108,0.1
OT,109,0.15
OT,110,0.2
OT,111,0.05
OT,112,0.25
OT,113,0.2
OT,114,0.35
OT,115,0.25
OT,116,0.25
OT,117,0.45
OT,118,0.3
OT,119,0.45
OT,120,0.4
OT,121,0.2
OT,122,0.05
OT,123,0.1
OT,124,0.25
OT,125,0.25
OT,126,0.25
OT,127,0.15
OT,128,0.3
OT,129,0.15
OT,130,0.15
OT,131,0.2
OT,132,0.25
OT,133,0.3
OT,134,0.45
OT,135,0.2
OT,136,0.15
OT,137,0.25
OT,138,0.35
OT,139,0.25
OT,140,0.3
OT,141,0.4
OT,142,0.35
OT,143,0.25
OT,144,0.2
OT,145,0.05
OT,146,0.15
OT,147,0.25
OT,148,0.1
OT,149,0.15
OT+DRO,0,0
OT+DRO,1,0.05
OT+DRO,2,0
OT+DRO,3,0
OT+DRO,4,0
OT+DRO,5,0
OT+DRO,6,0.05
OT+DRO,7,0
OT+DRO,8,0
OT+DRO,9,0
OT+DRO,10,0
OT+DRO,11,0.05
OT+DRO,12,0.1
OT+DRO,13,0.15
OT+DRO,14,0.1
OT+DRO,15,0.15
OT+DRO,16,0.15
OT+DRO,17,0.1
OT+DRO,18,0.1
OT+DRO,19,0.2
OT+DRO,20,0.1
OT+DRO,21,0.15
OT+DRO,22,0.2
OT+DRO,23,0
OT+DRO,24,0.2
OT+DRO,25,0.05
OT+DRO,26,0.15
OT+DRO,27,0.25
OT+DRO,28,0.1
OT+DRO,29,0.15
OT+DRO,30,0.2
OT+DRO,31,0.3
OT+DRO,32,0.2
OT+DRO,33,0.25
OT+DRO,34,0.05
OT+DRO,35,0.15
OT+DRO,36,0.1
OT+DRO,37,0.1
OT+DRO,38,0.3
OT+DRO,39,0.05
OT+DRO,40,0.05
OT+DRO,41,0.2
OT+DRO,42,0.15
OT+DRO,43,0.05
OT+DRO,44,0.25
OT+DRO,45,0.2
OT+DRO,46,0.1
OT+DRO,47,0.05
OT+DRO,48,0.1
OT+DRO,49,0.1
OT+DRO,50,0.15
OT+DRO,51,0.35
OT+DRO,52,0.35
OT+DRO,53,0.15
OT+DRO,54,0.15
OT+DRO,55,0.25
OT+DRO,56,0.15
OT+DRO,57,0.05
OT+DRO,58,0.25
OT+DRO,59,0.1
OT+DRO,60,0.15
OT+DRO,61,0.2
OT+DRO,62,0.1
OT+DRO,63,0.2
OT+DRO,64,0.35
OT+DRO,65,0.15
OT+DRO,66,0.35
OT+DRO,67,0.2
OT+DRO,68,0.25
OT+DRO,69,0.2
OT+DRO,70,0.4
OT+DRO,71,0.25
OT+DRO,72,0.2
OT+DRO,73,0.15
OT+DRO,74,0.2
OT+DRO,75,0.25
OT+DRO,76,0.25
OT+DRO,77,0.2
OT+DRO,78,0.25
OT+DRO,79,0.25
OT+DRO,80,0.2
OT+DRO,81,0.35
OT+DRO,82,0.05
OT+DRO,83,0.1
OT+DRO,84,0.1
OT+DRO,85,0.05
OT+DRO,86,0.25
OT+DRO,87,0.3
OT+DRO,88,0.25
OT+DRO,89,0.25
OT+DRO,90,0.3
OT+DRO,91,0.25
OT+DRO,92,0.2
OT+DRO,93,0.15
OT+DRO,94,0.15
OT+DRO,95,0.15
OT+DRO,96,0.35
OT+DRO,97,0.2
OT+DRO,98,0.35
OT+DRO,99,0.25
OT+DRO,100,0.45
OT+DRO,101,0.3
OT+DRO,102,0.15
OT+DRO,103,0.35
OT+DRO,104,0.3
OT+DRO,105,0.2
OT+DRO,106,0.3
OT+DRO,107,0.05
OT+DRO,108,0.15
OT+DRO,109,0.45
OT+DRO,110,0.25
OT+DRO,111,0.15
OT+DRO,112,0.3
OT+DRO,113,0.4
OT+DRO,114,0.3
OT+DRO,115,0.35
OT+DRO,116,0.25
OT+DRO,117,0.4
OT+DRO,118,0.5
OT+DRO,119,0.3
OT+DRO,120,0.35
OT+DRO,121,0.25
OT+DRO,122,0.3
OT+DRO,123,0.15
OT+DRO,124,0.2
OT+DRO,125,0.25
OT+DRO,126,0.3
OT+DRO,127,0.1
OT+DRO,128,0.15
OT+DRO,129,0.15
OT+DRO,130,0.15
OT+DRO,131,0.15
OT+DRO,132,0.25
OT+DRO,133,0.2
OT+DRO,134,0.25
OT+DRO,135,0.25
OT+DRO,136,0.4
OT+DRO,137,0.35
OT+DRO,138,0.3
OT+DRO,139,0.3
OT+DRO,140,0.35
OT+DRO,141,0.2
OT+DRO,142,0.3
OT+DRO,143,0.25
OT+DRO,144,0.2
OT+DRO,145,0.35
OT+DRO,146,0.25
OT+DRO,147,0.25
OT+DRO,148,0.1
OT+DRO,149,0.25
