seed,W2-Euclidean,L1-Manhattan,Flat-NoGeom,Mean-Only,Directional
110242,0,0,0,0,0
110243,0,0,0,0,1
110244,0,0,0,0,0
110245,0,0,0,0,0
110246,0,0,0,0,0
110247,0,0,0,0,0
110248,0,0,0,0,0
110249,0,0,0,0,0
110250,0,0,0,1,0
110251,0,0,0,1,0
110252,0,0,0,0,0
110253,0,0,0,0,0
110254,0,0,0,0,0
110255,0,0,0,0,0
110256,0,0,0,0,0
110257,0,0,0,0,0
110258,0,0,0,0,0
110259,0,0,0,0,0
110260,0,1,1,1,1
110261,0,0,0,0,0
110262,0,0,0,0,0
110263,0,0,0,0,0
110264,0,0,0,0,0
110265,0,0,0,0,0
110266,0,0,0,0,0
110267,0,0,0,0,0
110268,0,0,0,1,0
110269,0,0,0,0,0
110270,0,0,0,0,0
110271,0,0,0,0,0
110272,0,0,0,0,0
110273,0,0,0,0,0
110274,0,0,0,1,0
110275,0,1,0,0,0
110276,0,0,0,1,0
110277,0,0,0,0,0
110278,0,0,0,1,0
110279,0,0,0,0,0
110280,0,0,0,0,0
110281,0,0,0,0,0
110282,0,0,0,0,0
110283,0,0,0,0,0
110284,0,0,0,0,0
110285,0,0,0,0,1
110286,0,1,0,0,0
110287,0,0,0,0,0
110288,0,0,0,0,0
110289,0,0,0,0,0
110290,0,0,0,0,0
110291,0,0,0,0,0
110292,0,0,0,1,0
110293,0,0,0,0,0
110294,0,0,0,0,0
110295,0,0,0,0,0
110296,0,0,0,0,0
110297,0,1,0,0,0
110298,0,0,0,0,0
110299,0,0,1,0,0
110300,1,0,0,1,0
110301,0,0,0,0,0
110302,0,0,0,0,0
110303,0,1,0,0,1
110304,0,0,0,0,0
110305,0,0,0,0,0
110306,0,0,0,0,0
110307,0,0,0,0,0
110308,0,0,0,0,1
110309,0,0,1,0,0
110310,0,1,0,0,0
110311,0,0,0,0,0
110312,1,1,1,1,1
110313,0,0,0,0,0
110314,0,0,0,0,0
110315,0,0,0,0,0
110316,0,0,0,0,0
110317,0,0,0,0,0
110318,1,0,1,0,0
110319,0,0,0,0,0
110320,0,0,0,0,0
110321,0,0,0,1,1
110322,0,0,0,0,0
110323,0,0,0,0,0
110324,0,0,0,0,0
110325,0,0,1,1,0
110326,0,0,0,0,0
110327,0,0,0,0,0
110328,0,0,0,0,0
110329,0,0,0,0,0
