variant,rare_prob,avg_progress,avg_clearance,avg_solve_ms
Base,0.01,19.89,1.057,1.3
Base,0.02,20.03,1.073,1.2
Base,0.05,19.99,1.084,1.3
Base,0.1,19.89,1.092,1.3
DRO,0.01,19.88,1.058,1.3
DRO,0.02,19.88,1.069,1.3
DRO,0.05,19.85,1.083,1.3
DRO,0.1,20.06,1.1,1.3
OT,0.01,19.88,1.058,1.3
OT,0.02,19.84,1.06,1.3
OT,0.05,19.95,1.079,1.3
OT,0.1,19.95,1.094,1.3
OT+DRO,0.01,19.69,1.047,1.3
OT+DRO,0.02,19.83,1.065,1.3
OT+DRO,0.05,19.84,1.082,1.3
OT+DRO,0.1,20.02,1.095,1.3
