num_discs,collision_rate,ci_lo,ci_hi,avg_clearance,avg_constraints,avg_solve_ms,num_rollouts
1,0.0550,0.0310,0.0958,1.5536,0,1.78,200
3,0.4850,0.4167,0.5539,0.8082,0,6.34,200
