num_scenarios,dimension,horizon,epsilon_effective,epsilon_required,beta
170,60,10,0.760061,0.050000,0.010000
175,60,10,0.738345,0.050000,0.010000
180,60,10,0.717835,0.050000,0.010000
185,60,10,0.698434,0.050000,0.010000
190,60,10,0.680054,0.050000,0.010000
195,60,10,0.662617,0.050000,0.010000
200,60,10,0.646052,0.050000,0.010000
205,60,10,0.630294,0.050000,0.010000
210,60,10,0.615287,0.050000,0.010000
215,60,10,0.600978,0.050000,0.010000
220,60,10,0.587320,0.050000,0.010000
225,60,10,0.574268,0.050000,0.010000
230,60,10,0.561784,0.050000,0.010000
235,60,10,0.549831,0.050000,0.010000
240,60,10,0.538376,0.050000,0.010000
245,60,10,0.527389,0.050000,0.010000
250,60,10,0.516841,0.050000,0.010000
255,60,10,0.506707,0.050000,0.010000
260,60,10,0.496963,0.050000,0.010000
265,60,10,0.487586,0.050000,0.010000
270,60,10,0.478557,0.050000,0.010000
275,60,10,0.469856,0.050000,0.010000
280,60,10,0.461466,0.050000,0.010000
285,60,10,0.453370,0.050000,0.010000
290,60,10,0.445553,0.050000,0.010000
295,60,10,0.438001,0.050000,0.010000
300,60,10,0.430701,0.050000,0.010000
305,60,10,0.423640,0.050000,0.010000
310,60,10,0.416808,0.050000,0.010000
315,60,10,0.410192,0.050000,0.010000
320,60,10,0.403782,0.050000,0.010000
325,60,10,0.397570,0.050000,0.010000
330,60,10,0.391546,0.050000,0.010000
335,60,10,0.385703,0.050000,0.010000
340,60,10,0.380030,0.050000,0.010000
345,60,10,0.374523,0.050000,0.010000
350,60,10,0.369172,0.050000,0.010000
355,60,10,0.363973,0.050000,0.010000
360,60,10,0.358918,0.050000,0.010000
365,60,10,0.354001,0.050000,0.010000
370,60,10,0.349217,0.050000,0.010000
375,60,10,0.344561,0.050000,0.010000
380,60,10,0.340027,0.050000,0.010000
385,60,10,0.335611,0.050000,0.010000
390,60,10,0.331309,0.050000,0.010000
395,60,10,0.327115,0.050000,0.010000
400,60,10,0.323026,0.050000,0.010000
405,60,10,0.319038,0.050000,0.010000
410,60,10,0.315147,0.050000,0.010000
415,60,10,0.311350,0.050000,0.010000
420,60,10,0.307644,0.050000,0.010000
425,60,10,0.304024,0.050000,0.010000
430,60,10,0.300489,0.050000,0.010000
435,60,10,0.297035,0.050000,0.010000
440,60,10,0.293660,0.050000,0.010000
445,60,10,0.290360,0.050000,0.010000
450,60,10,0.287134,0.050000,0.010000
455,60,10,0.283979,0.050000,0.010000
460,60,10,0.280892,0.050000,0.010000
465,60,10,0.277872,0.050000,0.010000
470,60,10,0.274916,0.050000,0.010000
475,60,10,0.272022,0.050000,0.010000
480,60,10,0.269188,0.050000,0.010000
485,60,10,0.266413,0.050000,0.010000
490,60,10,0.263695,0.050000,0.010000
495,60,10,0.261031,0.050000,0.010000
500,60,10,0.258421,0.050000,0.010000
10,120,20,24.921034,0.050000,0.010000
15,120,20,16.614023,0.050000,0.010000
20,120,20,12.460517,0.050000,0.010000
25,120,20,9.968414,0.050000,0.010000
30,120,20,8.307011,0.050000,0.010000
35,120,20,7.120295,0.050000,0.010000
40,120,20,6.230259,0.050000,0.010000
45,120,20,5.538008,0.050000,0.010000
50,120,20,4.984207,0.050000,0.010000
55,120,20,4.531097,0.050000,0.010000
60,120,20,4.153506,0.050000,0.010000
65,120,20,3.834005,0.050000,0.010000
70,120,20,3.560148,0.050000,0.010000
75,120,20,3.322805,0.050000,0.010000
80,120,20,3.115129,0.050000,0.010000
85,120,20,2.931886,0.050000,0.010000
90,120,20,2.769004,0.050000,0.010000
95,120,20,2.623267,0.050000,0.010000
100,120,20,2.492103,0.050000,0.010000
105,120,20,2.373432,0.050000,0.010000
110,120,20,2.265549,0.050000,0.010000
115,120,20,2.167046,0.050000,0.010000
120,120,20,2.076753,0.050000,0.010000
125,120,20,1.993683,0.050000,0.010000
130,120,20,1.917003,0.050000,0.010000
135,120,20,1.846003,0.050000,0.010000
140,120,20,1.780074,0.050000,0.010000
145,120,20,1.718692,0.050000,0.010000
150,120,20,1.661402,0.050000,0.010000
155,120,20,1.607809,0.050000,0.010000
160,120,20,1.557565,0.050000,0.010000
165,120,20,1.510366,0.050000,0.010000
170,120,20,1.465943,0.050000,0.010000
175,120,20,1.424059,0.050000,0.010000
180,120,20,1.384502,0.050000,0.010000
185,120,20,1.347083,0.050000,0.010000
190,120,20,1.311633,0.050000,0.010000
195,120,20,1.278002,0.050000,0.010000
200,120,20,1.246052,0.050000,0.010000
205,120,20,1.215660,0.050000,0.010000
210,120,20,1.186716,0.050000,0.010000
215,120,20,1.159118,0.050000,0.010000
220,120,20,1.132774,0.050000,0.010000
225,120,20,1.107602,0.050000,0.010000
230,120,20,1.083523,0.050000,0.010000
235,120,20,1.060470,0.050000,0.010000
240,120,20,1.038376,0.050000,0.010000
245,120,20,1.017185,0.050000,0.010000
250,120,20,0.996841,0.050000,0.010000
255,120,20,0.977295,0.050000,0.010000
260,120,20,0.958501,0.050000,0.010000
265,120,20,0.940416,0.050000,0.010000
270,120,20,0.923001,0.050000,0.010000
