step,ego_x,ego_y,ego_theta,ego_v,obs_x,obs_y,goal_x,goal_y,plan_k,plan_x,plan_y,num_scenarios,num_constraints
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,4,3.3108,-0.5132,10,160
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,0,2.0948,-0.2485,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,1,2.4737,-0.3163,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,2,2.8810,-0.3957,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,3,3.3143,-0.4965,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,4,3.7721,-0.6228,9,144
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,0,2.4737,-0.3163,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,1,2.8806,-0.3978,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,2,3.3141,-0.4978,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,3,3.7729,-0.6201,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,4,4.2577,-0.7612,10,160
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,0,2.8806,-0.3978,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,1,3.3136,-0.4999,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,2,3.7722,-0.6232,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,3,4.2572,-0.7636,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,4,4.7765,-0.8912,9,144
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,0,3.3136,-0.4999,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,1,3.7729,-0.6206,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,2,4.2590,-0.7569,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,3,4.7791,-0.8816,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,4,5.3370,-0.9690,8,128
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,0,3.7729,-0.6206,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,1,4.2597,-0.7547,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,2,4.7808,-0.8747,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,3,5.3395,-0.9571,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,4,5.9329,-0.9966,6,96
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,0,4.2597,-0.7547,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,1,4.7808,-0.8748,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,2,5.3395,-0.9572,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,3,5.9329,-0.9967,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,4,6.5576,-0.9883,9,144
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,0,4.7808,-0.8748,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,1,5.3395,-0.9572,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,2,5.9329,-0.9967,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,3,6.5576,-0.9883,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,4,7.2123,-0.9770,4,64
