step,scenario_id,obs_id,mode,timestep,pred_x,pred_y
4,4,0,constant_velocity,12,5.8784,0.6383
4,4,0,constant_velocity,14,5.7829,0.6609
4,7,0,constant_velocity,0,6.6800,0.5000
4,7,0,constant_velocity,2,6.5192,0.4997
4,7,0,constant_velocity,4,6.3298,0.5103
4,7,0,constant_velocity,6,6.1173,0.5143
4,7,0,constant_velocity,8,5.8955,0.5207
4,7,0,constant_velocity,10,5.6612,0.5188
4,7,0,constant_velocity,12,5.4342,0.5386
4,7,0,constant_velocity,14,5.2120,0.5749
5,3,0,constant_velocity,0,6.6000,0.5000
5,3,0,constant_velocity,2,6.4326,0.4931
5,3,0,constant_velocity,4,6.2556,0.4709
5,3,0,constant_velocity,6,6.0588,0.4399
5,3,0,constant_velocity,8,5.8588,0.3831
5,3,0,constant_velocity,10,5.6754,0.3282
5,3,0,constant_velocity,12,5.4823,0.2777
5,3,0,constant_velocity,14,5.2683,0.2413
5,4,0,constant_velocity,0,6.6000,0.5000
5,4,0,constant_velocity,2,6.4256,0.4991
5,4,0,constant_velocity,4,6.2555,0.5047
5,4,0,constant_velocity,6,6.1086,0.5161
5,4,0,constant_velocity,8,5.9616,0.5460
5,4,0,constant_velocity,10,5.8239,0.5776
5,4,0,constant_velocity,12,5.6894,0.6093
5,4,0,constant_velocity,14,5.5474,0.6323
5,7,0,constant_velocity,0,6.6000,0.5000
5,7,0,constant_velocity,2,6.4221,0.4926
5,7,0,constant_velocity,4,6.2589,0.4838
5,7,0,constant_velocity,6,6.1154,0.4715
5,7,0,constant_velocity,8,5.9782,0.4674
5,7,0,constant_velocity,10,5.8083,0.4477
5,7,0,constant_velocity,12,5.6307,0.4138
5,7,0,constant_velocity,14,5.4612,0.3675
6,1,0,constant_velocity,0,6.5200,0.5000
6,1,0,constant_velocity,2,6.3514,0.4971
6,1,0,constant_velocity,4,6.1807,0.4659
6,1,0,constant_velocity,6,6.0082,0.4242
6,1,0,constant_velocity,8,5.8325,0.3817
6,1,0,constant_velocity,10,5.6678,0.3471
6,1,0,constant_velocity,12,5.5039,0.3203
6,1,0,constant_velocity,14,5.3630,0.3031
6,3,0,constant_velocity,0,6.5200,0.5000
6,3,0,constant_velocity,2,6.3534,0.4912
6,3,0,constant_velocity,4,6.1837,0.4779
6,3,0,constant_velocity,6,6.0237,0.4750
6,3,0,constant_velocity,8,5.8745,0.4749
6,3,0,constant_velocity,10,5.7067,0.4887
6,3,0,constant_velocity,12,5.5226,0.5077
6,3,0,constant_velocity,14,5.3291,0.5301
6,4,0,constant_velocity,0,6.5200,0.5000
6,4,0,constant_velocity,2,6.3579,0.4945
6,4,0,constant_velocity,4,6.1885,0.4974
6,4,0,constant_velocity,6,6.0050,0.5054
6,4,0,constant_velocity,8,5.8077,0.4943
6,4,0,constant_velocity,10,5.6177,0.4671
6,4,0,constant_velocity,12,5.4412,0.4244
6,4,0,constant_velocity,14,5.2857,0.3843
7,2,0,constant_velocity,0,6.4400,0.5000
7,2,0,constant_velocity,2,6.2704,0.4948
7,2,0,constant_velocity,4,6.0926,0.4829
7,2,0,constant_velocity,6,5.9203,0.4684
7,2,0,constant_velocity,8,5.7853,0.4496
7,2,0,constant_velocity,10,5.6373,0.4217
7,2,0,constant_velocity,12,5.4742,0.3782
7,2,0,constant_velocity,14,5.3194,0.3479
7,3,0,constant_velocity,0,6.4400,0.5000
7,3,0,constant_velocity,2,6.2920,0.4905
7,3,0,constant_velocity,4,6.1423,0.4702
7,3,0,constant_velocity,6,5.9991,0.4523
7,3,0,constant_velocity,8,5.8663,0.4467
7,3,0,constant_velocity,10,5.7618,0.4430
7,3,0,constant_velocity,12,5.6670,0.4379
7,3,0,constant_velocity,14,5.5736,0.4266
7,4,0,constant_velocity,0,6.4400,0.5000
7,4,0,constant_velocity,2,6.2735,0.5043
7,4,0,constant_velocity,4,6.0999,0.4975
7,4,0,constant_velocity,6,5.9246,0.4670
7,4,0,constant_velocity,8,5.7506,0.4301
7,4,0,constant_velocity,10,5.5709,0.4001
7,4,0,constant_velocity,12,5.3839,0.3835
7,4,0,constant_velocity,14,5.1845,0.3536
8,0,0,constant_velocity,0,6.3600,0.5000
8,0,0,constant_velocity,2,6.1817,0.5152
8,0,0,constant_velocity,4,6.0091,0.5223
8,0,0,constant_velocity,6,5.8450,0.5182
8,0,0,constant_velocity,8,5.7028,0.4989
8,0,0,constant_velocity,10,5.5755,0.4923
8,0,0,constant_velocity,12,5.4265,0.4859
8,0,0,constant_velocity,14,5.2533,0.4905
8,3,0,constant_velocity,0,6.3600,0.5000
8,3,0,constant_velocity,2,6.1975,0.4960
8,3,0,constant_velocity,4,6.0314,0.5261
8,3,0,constant_velocity,6,5.8680,0.5754
8,3,0,constant_velocity,8,5.7118,0.6195
8,3,0,constant_velocity,10,5.5800,0.6563
8,3,0,constant_velocity,12,5.4514,0.6934
8,3,0,constant_velocity,14,5.3059,0.7439
8,7,0,constant_velocity,0,6.3600,0.5000
8,7,0,constant_velocity,2,6.1814,0.5015
8,7,0,constant_velocity,4,5.9657,0.5142
8,7,0,constant_velocity,6,5.7318,0.5554
8,7,0,constant_velocity,8,5.5001,0.6083
8,7,0,constant_velocity,10,5.2817,0.6702
8,7,0,constant_velocity,12,5.0640,0.7358
8,7,0,constant_velocity,14,4.8234,0.7885
9,5,0,constant_velocity,0,6.2800,0.5000
9,5,0,constant_velocity,2,6.1179,0.5009
9,5,0,constant_velocity,4,5.9581,0.4930
9,5,0,constant_velocity,6,5.7862,0.4466
9,5,0,constant_velocity,8,5.6198,0.3850
9,5,0,constant_velocity,10,5.4827,0.3049
9,5,0,constant_velocity,12,5.3423,0.2068
9,5,0,constant_velocity,14,5.1944,0.0959
9,11,0,constant_velocity,0,6.2800,0.5000
9,11,0,constant_velocity,2,6.1085,0.4939
9,11,0,constant_velocity,4,5.9235,0.4981
9,11,0,constant_velocity,6,5.7315,0.5197
9,11,0,constant_velocity,8,5.5295,0.5270
9,11,0,constant_velocity,10,5.3263,0.5278
9,11,0,constant_velocity,12,5.1131,0.5341
9,11,0,constant_velocity,14,4.8923,0.5330
9,12,0,constant_velocity,0,6.2800,0.5000
9,12,0,constant_velocity,2,6.1154,0.4973
9,12,0,constant_velocity,4,5.9496,0.4865
9,12,0,constant_velocity,6,5.7877,0.4799
9,12,0,constant_velocity,8,5.6232,0.4869
9,12,0,constant_velocity,10,5.4618,0.4996
9,12,0,constant_velocity,12,5.3014,0.5114
9,12,0,constant_velocity,14,5.1389,0.5105
10,0,0,constant_velocity,0,6.2000,0.5000
10,0,0,constant_velocity,2,6.0455,0.5035
10,0,0,constant_velocity,4,5.8799,0.5115
10,0,0,constant_velocity,6,5.6973,0.5299
10,0,0,constant_velocity,8,5.4935,0.5458
10,0,0,constant_velocity,10,5.2729,0.5624
10,0,0,constant_velocity,12,5.0617,0.5947
10,0,0,constant_velocity,14,4.8653,0.6132
10,1,0,constant_velocity,0,6.2000,0.5000
10,1,0,constant_velocity,2,6.0430,0.4988
10,1,0,constant_velocity,4,5.8837,0.4945
10,1,0,constant_velocity,6,5.7314,0.4950
10,1,0,constant_velocity,8,5.5833,0.4942
10,1,0,constant_velocity,10,5.4385,0.4930
10,1,0,constant_velocity,12,5.3086,0.4739
10,1,0,constant_velocity,14,5.1969,0.4605
10,2,0,constant_velocity,0,6.2000,0.5000
10,2,0,constant_velocity,2,6.0449,0.5055
10,2,0,constant_velocity,4,5.9113,0.5141
10,2,0,constant_velocity,6,5.7866,0.5222
10,2,0,constant_velocity,8,5.6653,0.5475
10,2,0,constant_velocity,10,5.5460,0.5689
10,2,0,constant_velocity,12,5.4420,0.5747
10,2,0,constant_velocity,14,5.3176,0.5838
11,1,0,constant_velocity,0,6.1200,0.5000
11,1,0,constant_velocity,2,5.9564,0.4930
11,1,0,constant_velocity,4,5.7825,0.4974
11,1,0,constant_velocity,6,5.6014,0.4995
11,1,0,constant_velocity,8,5.4250,0.5185
11,1,0,constant_velocity,10,5.2585,0.5447
11,1,0,constant_velocity,12,5.0789,0.5829
11,1,0,constant_velocity,14,4.9027,0.6184
11,2,0,constant_velocity,0,6.1200,0.5000
11,2,0,constant_velocity,2,5.9569,0.4898
11,2,0,constant_velocity,4,5.7873,0.4773
11,2,0,constant_velocity,6,5.6246,0.4838
11,2,0,constant_velocity,8,5.4520,0.4965
11,2,0,constant_velocity,10,5.2785,0.5202
11,2,0,constant_velocity,12,5.1053,0.5647
11,2,0,constant_velocity,14,4.9119,0.6056
11,3,0,constant_velocity,0,6.1200,0.5000
11,3,0,constant_velocity,2,5.9536,0.4925
11,3,0,constant_velocity,4,5.7749,0.4770
11,3,0,constant_velocity,6,5.5928,0.4631
11,3,0,constant_velocity,8,5.3974,0.4365
11,3,0,constant_velocity,10,5.1831,0.4009
11,3,0,constant_velocity,12,4.9516,0.3693
11,3,0,constant_velocity,14,4.7262,0.3398
12,1,0,constant_velocity,0,6.0400,0.5000
12,1,0,constant_velocity,2,5.8822,0.5029
12,1,0,constant_velocity,4,5.7335,0.5347
12,1,0,constant_velocity,6,5.5947,0.5639
12,1,0,constant_velocity,8,5.4606,0.5813
12,1,0,constant_velocity,10,5.3241,0.6131
12,1,0,constant_velocity,12,5.1831,0.6452
12,1,0,constant_velocity,14,5.0400,0.6706
12,2,0,constant_velocity,0,6.0400,0.5000
12,2,0,constant_velocity,2,5.8818,0.4972
12,2,0,constant_velocity,4,5.7316,0.4986
12,2,0,constant_velocity,6,5.5904,0.5003
12,2,0,constant_velocity,8,5.4599,0.4922
12,2,0,constant_velocity,10,5.3375,0.4682
12,2,0,constant_velocity,12,5.2111,0.4242
12,2,0,constant_velocity,14,5.0863,0.3769
12,3,0,constant_velocity,0,6.0400,0.5000
12,3,0,constant_velocity,2,5.8704,0.4972
12,3,0,constant_velocity,4,5.6946,0.4820
12,3,0,constant_velocity,6,5.5340,0.4765
12,3,0,constant_velocity,8,5.3753,0.4670
12,3,0,constant_velocity,10,5.2313,0.4596
12,3,0,constant_velocity,12,5.0890,0.4552
12,3,0,constant_velocity,14,4.9491,0.4333
13,2,0,constant_velocity,0,5.9600,0.5000
13,2,0,constant_velocity,2,5.7999,0.4930
13,2,0,constant_velocity,4,5.6396,0.4876
13,2,0,constant_velocity,6,5.4883,0.4956
13,2,0,constant_velocity,8,5.3371,0.5068
13,2,0,constant_velocity,10,5.1842,0.5202
13,2,0,constant_velocity,12,5.0306,0.5305
13,2,0,constant_velocity,14,4.8849,0.5461
13,4,0,constant_velocity,0,5.9600,0.5000
13,4,0,constant_velocity,2,5.7992,0.4990
13,4,0,constant_velocity,4,5.6378,0.4901
13,4,0,constant_velocity,6,5.4741,0.4747
13,4,0,constant_velocity,8,5.3110,0.4515
13,4,0,constant_velocity,10,5.1591,0.4283
13,4,0,constant_velocity,12,5.0143,0.4099
13,4,0,constant_velocity,14,4.8786,0.3957
13,5,0,constant_velocity,0,5.9600,0.5000
13,5,0,constant_velocity,2,5.7864,0.4868
13,5,0,constant_velocity,4,5.6081,0.4797
13,5,0,constant_velocity,6,5.4343,0.4606
13,5,0,constant_velocity,8,5.2801,0.4439
13,5,0,constant_velocity,10,5.1337,0.4437
13,5,0,constant_velocity,12,4.9743,0.4577
13,5,0,constant_velocity,14,4.8299,0.4896
14,1,0,constant_velocity,0,5.8800,0.5000
14,1,0,constant_velocity,2,5.7126,0.4895
14,1,0,constant_velocity,4,5.5303,0.4728
14,1,0,constant_velocity,6,5.3673,0.4484
14,1,0,constant_velocity,8,5.2033,0.4329
14,1,0,constant_velocity,10,5.0530,0.4308
14,1,0,constant_velocity,12,4.8943,0.4485
14,1,0,constant_velocity,14,4.7396,0.4732
14,2,0,constant_velocity,0,5.8800,0.5000
14,2,0,constant_velocity,2,5.7356,0.5079
14,2,0,constant_velocity,4,5.6122,0.5102
14,2,0,constant_velocity,6,5.4830,0.4982
14,2,0,constant_velocity,8,5.3552,0.4843
14,2,0,constant_velocity,10,5.2280,0.4527
14,2,0,constant_velocity,12,5.0905,0.4086
14,2,0,constant_velocity,14,4.9565,0.3562
14,3,0,constant_velocity,0,5.8800,0.5000
14,3,0,constant_velocity,2,5.7107,0.5036
14,3,0,constant_velocity,4,5.5230,0.5072
14,3,0,constant_velocity,6,5.3247,0.5110
14,3,0,constant_velocity,8,5.1245,0.5058
14,3,0,constant_velocity,10,4.9158,0.4997
14,3,0,constant_velocity,12,4.6912,0.4858
14,3,0,constant_velocity,14,4.4680,0.4825
15,0,0,constant_velocity,0,5.8000,0.5000
15,0,0,constant_velocity,2,5.6318,0.4951
15,0,0,constant_velocity,4,5.4657,0.5026
15,0,0,constant_velocity,6,5.2951,0.5173
15,0,0,constant_velocity,8,5.1223,0.5198
15,0,0,constant_velocity,10,4.9442,0.5187
15,0,0,constant_velocity,12,4.7555,0.5158
15,0,0,constant_velocity,14,4.5573,0.5028
15,3,0,constant_velocity,0,5.8000,0.5000
15,3,0,constant_velocity,2,5.6358,0.4971
15,3,0,constant_velocity,4,5.4917,0.4999
15,3,0,constant_velocity,6,5.3718,0.5048
15,3,0,constant_velocity,8,5.2557,0.5020
15,3,0,constant_velocity,10,5.1471,0.4886
15,3,0,constant_velocity,12,5.0388,0.4883
15,3,0,constant_velocity,14,4.9356,0.5021
15,5,0,constant_velocity,0,5.8000,0.5000
15,5,0,constant_velocity,2,5.6382,0.4817
15,5,0,constant_velocity,4,5.4797,0.4549
15,5,0,constant_velocity,6,5.3300,0.4323
15,5,0,constant_velocity,8,5.1943,0.3997
15,5,0,constant_velocity,10,5.0659,0.3713
15,5,0,constant_velocity,12,4.9365,0.3484
15,5,0,constant_velocity,14,4.7991,0.3424
16,1,0,constant_velocity,0,5.7200,0.5000
16,1,0,constant_velocity,2,5.5690,0.5124
16,1,0,constant_velocity,4,5.4445,0.5257
16,1,0,constant_velocity,6,5.3225,0.5388
16,1,0,constant_velocity,8,5.1862,0.5623
16,1,0,constant_velocity,10,5.0452,0.5856
16,1,0,constant_velocity,12,4.9141,0.6093
16,1,0,constant_velocity,14,4.7782,0.6295
16,4,0,constant_velocity,0,5.7200,0.5000
16,4,0,constant_velocity,2,5.5605,0.5008
16,4,0,constant_velocity,4,5.4132,0.5152
16,4,0,constant_velocity,6,5.2687,0.5211
16,4,0,constant_velocity,8,5.0913,0.5414
16,4,0,constant_velocity,10,4.9117,0.5551
16,4,0,constant_velocity,12,4.7462,0.5402
16,4,0,constant_velocity,14,4.5991,0.5267
16,5,0,constant_velocity,0,5.7200,0.5000
16,5,0,constant_velocity,2,5.5488,0.5025
16,5,0,constant_velocity,4,5.3818,0.5176
16,5,0,constant_velocity,6,5.2126,0.5125
16,5,0,constant_velocity,8,5.0487,0.4882
16,5,0,constant_velocity,10,4.8985,0.4529
16,5,0,constant_velocity,12,4.7609,0.4040
16,5,0,constant_velocity,14,4.6053,0.3509
17,8,0,constant_velocity,0,5.6400,0.5000
17,8,0,constant_velocity,2,5.4738,0.4815
17,8,0,constant_velocity,4,5.3083,0.4363
17,8,0,constant_velocity,6,5.1433,0.3658
17,8,0,constant_velocity,8,4.9920,0.2774
17,8,0,constant_velocity,10,4.8431,0.1839
17,8,0,constant_velocity,12,4.7108,0.0772
17,8,0,constant_velocity,14,4.5778,-0.0610
17,14,0,constant_velocity,0,5.6400,0.5000
17,14,0,constant_velocity,2,5.4657,0.4920
17,14,0,constant_velocity,4,5.2764,0.4809
17,14,0,constant_velocity,6,5.0885,0.4712
17,14,0,constant_velocity,8,4.8937,0.4806
17,14,0,constant_velocity,10,4.6946,0.4903
17,14,0,constant_velocity,12,4.4957,0.4759
17,14,0,constant_velocity,14,4.3049,0.4638
17,0,0,constant_velocity,0,5.6400,0.5000
17,0,0,constant_velocity,2,5.4774,0.4962
17,0,0,constant_velocity,4,5.3088,0.4884
17,0,0,constant_velocity,6,5.1475,0.4894
17,0,0,constant_velocity,8,4.9925,0.5040
17,0,0,constant_velocity,10,4.8522,0.5230
17,0,0,constant_velocity,12,4.7074,0.5307
17,0,0,constant_velocity,14,4.5619,0.5301
18,0,0,constant_velocity,0,5.5600,0.5000
18,0,0,constant_velocity,2,5.4132,0.4931
18,0,0,constant_velocity,4,5.2735,0.4747
18,0,0,constant_velocity,6,5.1351,0.4441
18,0,0,constant_velocity,8,5.0118,0.4288
18,0,0,constant_velocity,10,4.8947,0.4040
18,0,0,constant_velocity,12,4.7694,0.3808
18,0,0,constant_velocity,14,4.6592,0.3555
18,2,0,constant_velocity,0,5.5600,0.5000
18,2,0,constant_velocity,2,5.4037,0.4957
18,2,0,constant_velocity,4,5.2376,0.4860
18,2,0,constant_velocity,6,5.0727,0.4663
18,2,0,constant_velocity,8,4.9169,0.4485
18,2,0,constant_velocity,10,4.7543,0.4337
18,2,0,constant_velocity,12,4.6078,0.4288
18,2,0,constant_velocity,14,4.4803,0.4355
18,3,0,constant_velocity,0,5.5600,0.5000
18,3,0,constant_velocity,2,5.3875,0.4896
18,3,0,constant_velocity,4,5.2110,0.4643
18,3,0,constant_velocity,6,5.0405,0.4444
18,3,0,constant_velocity,8,4.8756,0.4245
18,3,0,constant_velocity,10,4.7249,0.4285
18,3,0,constant_velocity,12,4.5948,0.4168
18,3,0,constant_velocity,14,4.4890,0.3935
19,10,0,constant_velocity,0,5.4800,0.5000
19,10,0,constant_velocity,2,5.3238,0.5018
19,10,0,constant_velocity,4,5.1643,0.5098
19,10,0,constant_velocity,6,5.0138,0.5114
19,10,0,constant_velocity,8,4.8833,0.4989
19,10,0,constant_velocity,10,4.7747,0.4805
19,10,0,constant_velocity,12,4.6713,0.4764
19,10,0,constant_velocity,14,4.5691,0.4606
19,13,0,constant_velocity,0,5.4800,0.5000
19,13,0,constant_velocity,2,5.3237,0.5100
19,13,0,constant_velocity,4,5.1862,0.5312
19,13,0,constant_velocity,6,5.0588,0.5551
19,13,0,constant_velocity,8,4.9246,0.5684
19,13,0,constant_velocity,10,4.7963,0.5776
19,13,0,constant_velocity,12,4.6549,0.5875
19,13,0,constant_velocity,14,4.4967,0.6107
19,14,0,constant_velocity,0,5.4800,0.5000
19,14,0,constant_velocity,2,5.3194,0.4806
19,14,0,constant_velocity,4,5.1475,0.4349
19,14,0,constant_velocity,6,4.9821,0.3833
19,14,0,constant_velocity,8,4.8338,0.3467
19,14,0,constant_velocity,10,4.7047,0.3149
19,14,0,constant_velocity,12,4.5810,0.2795
19,14,0,constant_velocity,14,4.4554,0.2449
20,7,0,constant_velocity,0,5.4000,0.5000
20,7,0,constant_velocity,2,5.2503,0.4884
20,7,0,constant_velocity,4,5.1146,0.4689
20,7,0,constant_velocity,6,4.9879,0.4519
20,7,0,constant_velocity,8,4.8813,0.4179
20,7,0,constant_velocity,10,4.7800,0.3847
20,7,0,constant_velocity,12,4.6676,0.3726
20,7,0,constant_velocity,14,4.5511,0.3693
20,9,0,constant_velocity,0,5.4000,0.5000
20,9,0,constant_velocity,2,5.2482,0.4870
20,9,0,constant_velocity,4,5.1028,0.4640
20,9,0,constant_velocity,6,4.9500,0.4356
20,9,0,constant_velocity,8,4.7975,0.4015
20,9,0,constant_velocity,10,4.6441,0.3707
20,9,0,constant_velocity,12,4.4824,0.3597
20,9,0,constant_velocity,14,4.3174,0.3561
20,10,0,constant_velocity,0,5.4000,0.5000
20,10,0,constant_velocity,2,5.2454,0.4867
20,10,0,constant_velocity,4,5.0886,0.4664
20,10,0,constant_velocity,6,4.9427,0.4403
20,10,0,constant_velocity,8,4.8002,0.4284
20,10,0,constant_velocity,10,4.6584,0.4171
20,10,0,constant_velocity,12,4.5290,0.3858
20,10,0,constant_velocity,14,4.3943,0.3605
21,3,0,constant_velocity,0,5.3200,0.5000
21,3,0,constant_velocity,2,5.1653,0.4982
21,3,0,constant_velocity,4,5.0285,0.4774
21,3,0,constant_velocity,6,4.9017,0.4463
21,3,0,constant_velocity,8,4.7816,0.4162
21,3,0,constant_velocity,10,4.6658,0.3791
21,3,0,constant_velocity,12,4.5241,0.3378
21,3,0,constant_velocity,14,4.3654,0.2973
21,8,0,constant_velocity,0,5.3200,0.5000
21,8,0,constant_velocity,2,5.1665,0.4913
21,8,0,constant_velocity,4,5.0130,0.4858
21,8,0,constant_velocity,6,4.8710,0.4799
21,8,0,constant_velocity,8,4.7256,0.4773
21,8,0,constant_velocity,10,4.5735,0.4795
21,8,0,constant_velocity,12,4.4307,0.4826
21,8,0,constant_velocity,14,4.2827,0.4876
21,9,0,constant_velocity,0,5.3200,0.5000
21,9,0,constant_velocity,2,5.1675,0.4826
21,9,0,constant_velocity,4,5.0023,0.4638
21,9,0,constant_velocity,6,4.8303,0.4718
21,9,0,constant_velocity,8,4.6532,0.5049
21,9,0,constant_velocity,10,4.4691,0.5471
21,9,0,constant_velocity,12,4.2710,0.5918
21,9,0,constant_velocity,14,4.0676,0.6455
22,9,0,constant_velocity,0,5.2400,0.5000
22,9,0,constant_velocity,2,5.0923,0.4916
22,9,0,constant_velocity,4,4.9577,0.4827
22,9,0,constant_velocity,6,4.8284,0.4734
22,9,0,constant_velocity,8,4.6987,0.4819
22,9,0,constant_velocity,10,4.5771,0.4990
22,9,0,constant_velocity,12,4.4705,0.5210
22,9,0,constant_velocity,14,4.3775,0.5468
22,14,0,constant_velocity,0,5.2400,0.5000
22,14,0,constant_velocity,2,5.0897,0.5016
22,14,0,constant_velocity,4,4.9495,0.5007
22,14,0,constant_velocity,6,4.8202,0.4801
22,14,0,constant_velocity,8,4.6973,0.4515
22,14,0,constant_velocity,10,4.5862,0.4168
22,14,0,constant_velocity,12,4.4795,0.3747
22,14,0,constant_velocity,14,4.3800,0.3573
22,0,0,constant_velocity,0,5.2400,0.5000
22,0,0,constant_velocity,2,5.0992,0.5106
22,0,0,constant_velocity,4,4.9565,0.5393
22,0,0,constant_velocity,6,4.8218,0.5671
22,0,0,constant_velocity,8,4.7275,0.6029
22,0,0,constant_velocity,10,4.6516,0.6637
22,0,0,constant_velocity,12,4.5550,0.7229
